Time,x_cv,z_cv,ax_imu,ay_imu,theta_cv,w_imu,x_out,vx_out,ax_out,y_out,vy_out,ay_out,theta_out,w_out
7.654772,0.3285330324892311,0.5040344821865707,0.04548983154296875,-5.590460876464843,0.08999562252110503,-0.006661562030512709,-0.5018420311381824,0.03599474783139757,-0.09034732147442509,-0.23585373686655964,-7.795839056279957,-5.886189936466511,-0.06314356643363858,-0.014874417165929903
7.725809,0.2969279132525496,0.3795663334373879,0.055066638183593745,-5.628768103027343,0.1005240243199524,0.0014655436467127959,-0.4586011858386338,0.08219076943576509,-0.09319209582101287,-0.4283141108350893,-7.720577522332315,-5.808268304695597,-0.06122432463182758,-0.009894745191046151
7.773656,0.2969279132525496,0.3795663334373879,0.14125789794921875,-5.872976672363281,0.1005240243199524,0.0058621745868511835,-0.4290956181763192,0.11011269689940285,-0.09525542951705473,-0.42827476620718724,-7.523064917804334,-5.825833771970767,-0.0851777692698818,-0.00639821215318323
7.907702,0.2969279132525496,0.3795663334373879,0.0143652099609375,-5.825092639160156,0.1005240243199524,-0.005062787143189658,-0.401025276749765,0.11900416226962868,-0.0966954103853628,-0.7779622194453103,-7.206121091900435,-5.81948646900224,-0.06444142365197814,-0.0040872185428842064
7.970809,0.2969279132525496,0.3795663334373879,-0.009576806640625,-5.832275244140624,0.1005240243199524,0.0005329249624410166,-0.38832762805679694,0.12026560232778327,-0.09778829332232912,-0.6567258855929402,-6.753672465114953,-5.8186641517359705,-0.04230125125589869,-0.0010626753136591992
8.049727,0.2969279132525496,0.3795663334373879,0.02633621826171875,-5.748478186035156,0.1005240243199524,0.0039969372183076245,-0.37931123502069164,0.11221417391002991,-0.09860080328717244,-0.6360776047144564,-6.45081788548326,-5.793083244928441,-0.03745278281373282,0.000791649861174568
8.093732,0.31236961944130803,0.3727688696849817,0.09816226806640624,-5.791573815917968,0.13573992974388496,0.007727411955394742,-0.37395203009129907,0.10715916092970787,-0.10960885156649008,-0.48344155687812973,-6.189460392752337,-5.789622713562376,-0.05547012145070193,0.0017768793462577107
8.103395,0.31236961944130803,0.3727688696849817,0.12689268798828124,-5.7891796142578125,0.13573992974388496,0.01505513018895872,-0.37290614696178054,0.10540344284022278,-0.11735705952714436,-0.2618661610375438,-5.988571772912472,-5.788352769254359,-0.07659969442575831,0.004985868413932411
8.117489,0.31236961944130803,0.3727688696849817,0.07422025146484375,-5.76523759765625,0.13573992974388496,0.01505513018895872,-0.37187090472986745,0.10301898118826211,-0.12280920922163405,-0.13815367454554178,-5.9146040714011345,-5.780940629514987,-0.07577201612008043,0.00798380264482574
8.122255,0.31236961944130803,0.3727688696849817,0.07422025146484375,-5.76523759765625,0.13573992974388496,0.011191424211261349,-0.3718138942944257,0.10197592870637148,-0.12664421398960543,-0.019219356199874804,-5.858907713149496,-5.77606084084721,-0.0752710943041127,0.00894056052055435
8.131815,0.31236961944130803,0.3727688696849817,0.1149216796875,-5.791573815917968,0.13573992974388496,0.024514548272286763,-0.3714318575730032,0.1003662942036503,-0.12934199669303661,0.04226853105823354,-5.859134026809618,-5.780539217242107,-0.0869237842118423,0.013418837151824091
8.148283,0.31236961944130803,0.3727688696849817,0.1484405029296875,-5.868188269042968,0.13573992974388496,0.032108728987071254,-0.3706982817045362,0.097743615291929,-0.1312400471181647,0.05619753617777683,-5.904898124328218,-5.806425538348141,-0.10494439264400954,0.018704259384266793
8.179053,0.31236961944130803,0.3727688696849817,0.14604630126953125,-5.935225915527344,0.13573992974388496,0.0433001531983326,-0.3692861067802242,0.09278655918392764,-0.13257644311514316,0.006227547494304486,-6.0109769919721145,-5.844441269440698,-0.11657872091643695,0.02572195460098626
8.252622,0.31236961944130803,0.3727688696849817,0.105344873046875,-5.983109948730468,0.13573992974388496,0.03490658503988659,-0.3660234110180371,0.08005607029914615,-0.13352566311294897,-0.20611204653539436,-6.222148572220733,-5.884705372390828,-0.11177696797379977,0.028573393100722086
8.29102,0.31236961944130803,0.3727688696849817,-0.02154781494140625,-5.932831713867187,0.13573992974388496,0.029444104174866172,-0.3661775724943399,0.07205888343594145,-0.13419306261679032,-0.20437003053544736,-6.228899403460571,-5.898130245487091,-0.07131534252674483,0.03049036538683448
8.299975,0.31236961944130803,0.3727688696849817,-0.02154781494140625,-5.9208607055664055,0.13573992974388496,0.023315467106794475,-0.36779028538445624,0.06922805764528493,-0.13465649773596403,-0.08206012339830299,-6.155543455994615,-5.9044953131058255,-0.043586430064762746,0.029060756898554523
8.336479,0.31236961944130803,0.3727688696849817,0.016759411621093748,-5.719747766113281,0.13573992974388496,-0.006928024511733216,-0.36768083747623376,0.06249773295737618,-0.13498340007877813,-0.11503931384049942,-6.216617282781686,-5.849238610559808,-0.035194891319025146,0.018631465910286527
8.350731,0.31236961944130803,0.3727688696849817,-0.06464344482421874,-5.832275244140624,0.13573992974388496,-0.025047473234727783,-0.3686452718316487,0.059350760151999256,-0.13521090313117687,-0.04478023176169657,-6.194907764524105,-5.843934171564907,-0.005648746479527931,0.006341758486273717
8.366596,0.31236961944130803,0.3727688696849817,0.02633621826171875,-5.724536169433593,0.13573992974388496,-0.00985911180515881,-0.3692658489149898,0.056281455589750215,-0.1353698714141716,-0.004143245277424795,-6.202987356976925,-5.808339374878807,-0.011809110982424471,0.0014238884252976347
8.412261,0.31236961944130803,0.3727688696849817,0.2609679809570312,-5.6215854980468745,0.13573992974388496,0.04210107203284032,-0.3686935125830609,0.04865036511918636,-0.1354837348819835,-0.10374029594337578,-6.317170837042915,-5.7525388487198965,-0.08540738753316618,0.011122682921633965
8.436546,0.31236961944130803,0.3727688696849817,0.0430956298828125,-5.552153649902343,0.13573992974388496,0.080205206847373,-0.3691761252750636,0.044149087705279186,-0.13556293215111964,-0.08090891269055855,-6.320968100643186,-5.692764503163582,-0.07208049770898838,0.03194092419503171
8.501306,0.3217654608526263,0.3745791540029143,0.04548983154296875,-6.244077929687499,0.1382768257562615,0.028644716731204646,-0.36920077018610675,0.03270754000807932,-0.13637707951020414,-0.2346957683827271,-6.436611396993518,-5.855277123267511,-0.06275732577651988,0.031296974043385974
8.601383,0.3217654608526263,0.3745791540029143,0.10295067138671875,-5.923254907226562,0.1382768257562615,-0.07420980101991156,-0.3694553513167097,0.015352569383961689,-0.13695954019701517,-0.46994006612036465,-6.464102661240378,-5.872480264508697,-0.07483708677498917,-0.0008252814876509376
8.698603,0.3217654608526263,0.3745791540029143,0.19153613281249998,-5.7891796142578125,0.1382768257562615,-0.08353598786262936,-0.3708633938587514,-0.0010366247326134372,-0.1373696899118832,-0.5803198725767781,-6.299821912044836,-5.843036571501714,-0.11198953616675694,-0.0281203006871148
8.756292,0.3217654608526263,0.3745791540029143,0.1771709228515625,-5.904101293945312,0.1382768257562615,-0.11577794809031088,-0.3724004277967449,-0.010524299505918532,-0.13764836206521464,-0.49001076156816026,-6.071761174991177,-5.857535371761938,-0.13446353359384067,-0.055311705260766425
8.813946,0.3217654608526263,0.3745791540029143,0.15562310791015624,-5.863399865722656,0.1382768257562615,-0.11977488530861849,-0.37371446270734615,-0.019029617631915772,-0.13783817953303185,-0.4338780015502254,-5.934670361563937,-5.856247859551233,-0.14422558175590236,-0.07468939689461593
8.859585,0.3326670924212904,0.41257764938963876,0.1149216796875,-5.710170959472656,0.14171547544709276,0.0018652373685435584,-0.3877394827928183,-0.03899941075534216,-0.13906979574878164,-0.3519973589602868,-5.823423913887691,-5.810674832050983,-0.13665377872678103,-0.0515401283228699
8.895859,0.3326670924212904,0.41257764938963876,0.23702596435546874,-5.609614489746093,0.14171547544709276,-0.017586523760553547,-0.3970114055304402,-0.05138580812047843,-0.13989445416788662,-0.2674261476953662,-5.747908368568193,-5.749507538994109,-0.1674420062229619,-0.04278652827194088
8.988164,0.3326670924212904,0.41257764938963876,-0.07900865478515624,-6.131550451660156,0.14171547544709276,-0.045032159326265905,-0.4059431920751756,-0.06825870358088992,-0.14046219590101,-0.4182880481932291,-5.854997020844777,-5.859652359349828,-0.09652237726643866,-0.03845846666636762
9.05708,0.3326670924212904,0.41257764938963876,0.09576806640624999,-6.141127258300781,0.14171547544709276,-0.058888208349732345,-0.41154555936857334,-0.07858936375314594,-0.14083832320115533,-0.42590417101360695,-5.831999412820462,-5.939811836216393,-0.09855985145689071,-0.04442818760689581
9.091661,0.3326670924212904,0.41257764938963876,0.17238251953125,-6.028599780273437,0.14171547544709276,-0.08526799399056267,-0.41375487309736014,-0.08293611731743333,-0.14109475769192706,-0.30761583858198016,-5.738620494124329,-5.9641474892252075,-0.12227701450088097,-0.05757983801300055
9.175494,0.3326670924212904,0.41257764938963876,0.32561142578124996,-5.755660791015624,0.14171547544709276,-0.10884992357857766,-0.41820672166433603,-0.09171955330437603,-0.14125485022491974,-0.4119902484151391,-5.823540988048834,-5.8991550691748715,-0.18749759576199004,-0.07661766322728322
